name,correct answers,description
delhi-floods-2023.jpg,"yes, maybe",Flooding in Delhi in 2023
migration.jpg,"yes, maybe",Internal migration in India from rural to urban areas
delhi-pollution.png,"no,maybe",Pollution in Delhi
sad farmer.jpg,"yes, maybe",The fields have dried up due to drought.
water-shortage-cities.png,"yes, maybe",People queuing for water in Bangalore during a water shortage due to lack of rainfall
pollution-mexico-city.png,no,"This is Mexico City, the hazy sky is caused by pollution."
melting-greenland.png,yes,This a lake of melt-water on top of the Greenland ice sheet.
corals-bleaching.png,yes,Corals are usually very colorful but they can bleach to a white colour if the water is acidic. 
Earthquake_Afghanistan_Aid_Iran_Tasnim_November_2025.jpg,no,Buildings damaged by earthquake in Afghanistan in 2025
katrina-hurricane.jpg,"yes, maybe","Hurricane Katrina, one of the largest and most devastating hurricanes in recent times."
Turkey-Syria-Earthquake-scaled-2-2048x1366.jpg,no,Buildings damaged by earthquake in Turkey in 2023
crop burning.jpg,no,Crop residue burning in Punjab
Bush_Burning.jpg,no,Dry bush burning in South Africa
Wildfire-in-California.png,"yes,maybe",Wildfire in California in summer 2024
Los-Angeles-fire-2025.png,"yes,maybe",Houses destroyed by forest fire in Los Angeles in 2025
ring-road-flooded-bangalore.jpeg,"no,maybe",Outer Ring Road flooded in Bangalore
sankey-road-underpass.jpeg,"no,maybe",Sankey Road underpass flooded in the rain
Mulayathur-Kodanad-bridge-Kerala-2018.jpg,"no,maybe",Trash on the Mulayathur Kodanad bridge in Kerala after heavy floods in 2018
Sindhupalchowk-landslide-Nepal-1024x683.jpg,"no,maybe",Landslide and deforestation in Nepal
mumbai-flooding-2005.png,"yes, maybe",Flooding in Mumbai in severe rain in 2005
women-carrying-water.jpg,"yes, maybe",Women carrying water during drought in Maharashtra
glacial-lake-outburst-flood.png,"yes,maybe",Meltwater from glaciers can form lakes which over flood suddenly
Ghazipur-landfill-near-Delhi-burning.png,no,Burning in the Ghazipur landfill site near Delhi
